软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
acl,acl-2.3.1-r0.aarch64.rpm,acl,提供操纵访问控制列表的命令,提供操作程序控制列表的getfacl和setfacl程序。,libacl1 >= 2.3.1 libc6 >= 2.34+10.3.1 
acl,libacl1-2.3.1-r0.aarch64.rpm,libacl1,提供用于访问POSIX访问控制列表的动态库,提供libacl.so动态库，其中包含POSIX 1003.1e标准草案中用于操作访问控制列表的17个函数。,libattr1 >= 2.5.1 libc6 >= 2.34+10.3.1 
attr,attr-2.5.1-r0.aarch64.rpm,attr,用于管理文件系统扩展属性,一种在文件系统对象上操作扩展属性的工具集，特别是getfattr和setfattr工具。还提供了一个attr命令，它在很大程度上兼容使用同名的SGI IRIX工具。,libattr1 >= 2.5.1 libc6 >= 2.34+10.3.1 update-alternatives-opkg
attr,libattr1-2.5.1-r0.aarch64.rpm,libattr1,提供文件扩展属性支持的动态库,提供libattr.so动态库，其中包含扩展属性库函数。,libc6 >= 2.34+10.3.1 
audit,audispd-plugins-3.0.1-r0.aarch64.rpm,audispd-plugins,提供审计事件调度器的插件,为audit系统、audispd的实时接口的提供插件；此插件能够传达事件到远端及其或者为分析可疑行为的事件。,
audit,audit-3.0.1-r0.aarch64.rpm,audit,为审计提供用户空间工具,通过审计系统提供用户空间程序来存储和搜索审计记录生成。,libc6 >= 2.34+10.3.1 libcap-ng >= 0.8.2 
audit,auditd-3.0.1-r0.aarch64.rpm,auditd,提供audit的守护进程,,audit >= 3.0.1 libc6 >= 2.34+10.3.1 libcap-ng >= 0.8.2 
base-files,base-files-3.0.14-r89.qemu_aarch64.rpm,base-files,基础系统的杂项文件,创建基本的系统目录结构，并为系统提供一小组关键配置文件。,
base-passwd,base-passwd-3.5.29-r0.aarch64.rpm,base-passwd,基本系统主密码/组文件,用户数据库文件的主副本（/etc/passwd和/etc/group）。还提供了更新密码工具，以使系统数据库与这些主文件保持同步。,
bash,bash-5.1.8-r0.aarch64.rpm,bash,命令处理器,与sh兼容的命令解释器，从标准输入或文件中读取来执行命令，并结合了ksh和csh的有用功能。,base-files libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 update-alternatives-opkg
bind-dhclient,bind-dhclient-9.11.14-r0.aarch64.rpm,bind-dhclient,BIND DNS服务器,,base-files base-passwd bind-dhclient-libs >= 9.11.14 libc6 >= 2.34+10.3.1 libcap >= 2.61 libcrypto1.1 >= 1.1.1m shadow
bind-dhclient,bind-dhclient-libs-9.11.14-r0.aarch64.rpm,bind-dhclient-libs,BIND DNS包使用的库,,libc6 >= 2.34+10.3.1 libcap >= 2.61 libcrypto1.1 >= 1.1.1m 
bind-dhclient,bind-dhclient-utils-9.11.14-r0.aarch64.rpm,bind-dhclient-utils,用于查询DNS名称服务器的实用程序,Bind utils包含一组实用程序，用于查询DNS（域名系统）名称服务器以查找有关Internet主机的信息。这些工具将为您提供给定主机名的IP地址，以及有关注册域和网络地址的其他信息。,bind-dhclient-libs >= 9.11.14 libc6 >= 2.34+10.3.1 libreadline8 >= 8.1 update-alternatives-opkg
binutils,libbfd-2.37-r0.aarch64.rpm,libbfd,二进制描述器,提供libbfd-2.37.so动态库。,libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
busybox,busybox-1.34.1-r0.aarch64.rpm,busybox,许多常见UNIX实用程序的微小版本组合,替代通常在filetuils、shellutils、findutils、textutils、grep、gzip、tar等中的实用程序，提供相当完整的POSIX小型或嵌入式系统环境。,busybox-inittab libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 libtirpc3 >= 1.3.2 update-alternatives-opkg
busybox,busybox-hwclock-1.34.1-r0.aarch64.rpm,busybox-hwclock,hardware clock，硬件（RTC）时钟,,
busybox,busybox-mdev-1.34.1-r0.aarch64.rpm,busybox-mdev,创建和管理 /dev 目录下的设备文件，包括初始化对象和动态更新,, 
busybox,busybox-udhcpc-1.34.1-r0.aarch64.rpm,busybox-udhcpc,自动分配ip，并设置网卡IP,,
busybox-inittab,busybox-inittab-1.33.2-r0.qemu_aarch64.rpm,busybox-inittab,帮助init完成系统配置的主要文件,, 
bzip2,libbz2-1-1.0.8-r0.aarch64.rpm,libbz2-1,bzip2运行时库,提供libbz2.so.1动态库。,libc6 >= 2.34+10.3.1 
cifs-utils,cifs-utils-6.14-r0.aarch64.rpm,cifs-utils,用于执行和管理Linu CIFS文件系统的挂载,包含用于执行和管理Linux CIFS文件系统挂载的使用程序。,libc6 >= 2.34+10.3.1 
cracklib,cracklib-2.9.7-r0.aarch64.rpm,cracklib,使用字典破解密码的库,测试密码以确定它们是否匹配一定的安全导向特性，可阻止用户选择太过简单的密码。,libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
cronie,cronie-1.5.7-r0.aarch64.rpm,cronie,用于周期性执行指令,提供cron的守护进程，cron用于在特定时间自动启动任务程序。,base-files base-passwd initd-functions libc6 >= 2.34+10.3.1 libpam >= 1.5.2 libpam-runtime pam-plugin-access pam-plugin-loginuid shadow
curl,curl-7.79.1-r0.aarch64.rpm,curl,用于从远端服务器获取文件,一个命令行工具，用于使用URL语法传输数据，支持多种协议和大量有用的技巧。,libc6 >= 2.34+10.3.1 libcurl4 >= 7.79.1 
curl,libcurl4-7.79.1-r0.aarch64.rpm,libcurl4,用于从URL传输数据的库,"curl共享库，用于使用不同的网络协议访问数据,",libc6 >= 2.34+10.3.1 libgnutls30 >= 3.7.2 libidn2-0 >= 2.3.2 libz1 >= 1.2.11 nettle >= 3.8.1 
dhcp,dhcp-client-4.4.2-r0.aarch64.rpm,dhcp-client,提供ISC DHCP客户端守护程序和dhclient脚本,,bind-dhclient-libs >= 9.11.14 dhcp-libs >= 4.4.2 libc6 >= 2.34+10.3.1 
dhcp,dhcp-libs-4.4.2-r0.aarch64.rpm,dhcp-libs,ISC DHCP服务端和客户端使用的共享库,提供ISC DHCP服务端和客户端使用的共享库。,libc6 >= 2.34+10.3.1 
dhcp,dhcp-omshell-4.4.2-r0.aarch64.rpm,dhcp-omshell,提供omshell程序,,bind-dhclient-libs >= 9.11.14 dhcp-libs >= 4.4.2 libc6 >= 2.34+10.3.1 
dhcp,dhcp-relay-4.4.2-r0.aarch64.rpm,dhcp-relay,提供ISC DHCP中继代理,,bind-dhclient-libs >= 9.11.14 dhcp-libs >= 4.4.2 libc6 >= 2.34+10.3.1 
dhcp,dhcp-server-4.4.2-r0.aarch64.rpm,dhcp-server,提供ISC DHCP服务端,提供DHCP服务端和dhcp守护进程。,base-files base-passwd bind-dhclient-libs >= 9.11.14 dhcp-libs >= 4.4.2 libc6 >= 2.34+10.3.1 shadow
dhcp,dhcp-server-config-4.4.2-r0.aarch64.rpm,dhcp-server-config,ISC DHCP服务端配置,提供默认的DHCP服务端和dhcp守护进程配置文件。,
dosfstools,dosfstools-4.2-r0.aarch64.rpm,dosfstools,用于创建和检查MS-DOS FAT文件系统,包含用于Linux中 创建和检查硬盘或软盘上的MS-DOS FAT文件系统的两个工具。,libc6 >= 2.34+10.3.1 update-alternatives-opkg
dsoftbus,dsoftbus-1.0-r1.aarch64.rpm,dsoftbus,软总线,,libc6 >= 2.34+10.3.1 libstdc++6 >= 10.3.1+10.3.1 
e2fsprogs,e2fsprogs-1.46.4-r0.aarch64.rpm,e2fsprogs,用于管理ext2、ext3和ext4文件系统,包含许多用于ext2、ext3和ext4文件系统中创建、检查、修改和纠正任何不一致的程序。,e2fsprogs-badblocks e2fsprogs-dumpe2fs libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libe2p2 >= 1.46.4 libext2fs2 >= 1.46.4 libss2 >= 1.46.4 libuuid1 >= 2.37.2 update-alternatives-opkg
e2fsprogs,e2fsprogs-badblocks-1.46.4-r0.aarch64.rpm,e2fsprogs-badblocks,用于检查磁盘装置中损坏的区块,提供badblocks命令，用于检查磁盘装置中损坏的区块。,libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libext2fs2 >= 1.46.4 
e2fsprogs,e2fsprogs-dumpe2fs-1.46.4-r0.aarch64.rpm,e2fsprogs-dumpe2fs,用于查看格式化之后的文件系统信息,提供dumpe2fs命令，用于查看格式化之后的文件系统信息。,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libe2p2 >= 1.46.4 libext2fs2 >= 1.46.4 
e2fsprogs,e2fsprogs-e2fsck-1.46.4-r0.aarch64.rpm,e2fsprogs-e2fsck,用于检查使用Linux ext2档案系统的partition,提供e2fsck命令，用于检查使用Linux ext2档案系统的partition是否正常工作。,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libe2p2 >= 1.46.4 libext2fs2 >= 1.46.4 libuuid1 >= 2.37.2 
e2fsprogs,e2fsprogs-mke2fs-1.46.4-r0.aarch64.rpm,e2fsprogs-mke2fs,用于建立ext2文件系统,提供mke2fs.conf和mke2fs.e2fsprogs，mke2fs命令用于建立ext2文件系统。,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libe2p2 >= 1.46.4 libext2fs2 >= 1.46.4 libuuid1 >= 2.37.2 update-alternatives-opkg
e2fsprogs,e2fsprogs-tune2fs-1.46.4-r0.aarch64.rpm,e2fsprogs-tune2fs,调整和查看ext2/ext3文件系统参数的命令行工具,"提供e2label、tune2fs.e2fsprogs命令,",libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libe2p2 >= 1.46.4 libext2fs2 >= 1.46.4 libuuid1 >= 2.37.2 update-alternatives-opkg
e2fsprogs,libcom-err2-1.46.4-r0.aarch64.rpm,libcom-err2,e2fsprogs报错库,一个错误信息显示库。,libc6 >= 2.34+10.3.1 
e2fsprogs,libe2p2-1.46.4-r0.aarch64.rpm,libe2p2,e2fsprogs共享库,提供libe2p.so.2和libe2p.so.2.3动态库。,libc6 >= 2.34+10.3.1 
e2fsprogs,libext2fs2-1.46.4-r0.aarch64.rpm,libext2fs2,e2fsprogs共享库,提供libext2fs2.so.2和libext2fs.2.4动态库。,libblkid1 >= 2.37.2 libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 
e2fsprogs,libss2-1.46.4-r0.aarch64.rpm,libss2,e2fsprogs共享库,提供libss.so.2和libss.so.2.0动态库。,libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 
elfutils,libasm1-0.187-r0.aarch64.rpm,libasm1,用于处理编译对象的实用程序和DSO集合,"提供libasm-0.185.so和libasm.so.1动态库,",libc6 >= 2.34+10.3.1 libdw1 >= 0.187 libelf1 >= 0.187 
elfutils,libelf1-0.187-r0.aarch64.rpm,libelf1,读写ELF文件的库,"提供libelf-0.185.so好libelf.so.1动态库,",libc6 >= 2.34+10.3.1 libelf1 >= 0.187 libz1 >= 1.2.11 
elfutils,libdw1-0.187-r0.aarch64.rpm,libdw1,访问DWARF调试信息的库,"提供libdw-0.185.so和libdw.so.1动态库,",libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
ethtool,ethtool-5.15-r0.aarch64.rpm,ethtool,以太网网卡的设置工具,允许在许多网络设备尤其是以太网设备中查询和更改设置，例如速度、端口、自动协商、PCI位置、校验和卸载。,libc6 >= 2.34+10.3.1 libmnl0 >= 1.0.4 
expat,libexpat1-2.4.8-r0.aarch64.rpm,libexpat1,XML解析器工具包,"提供libexpat.so.1好libexpat.so.1.8.1动态库,",libc6 >= 2.34+10.3.1 
expect,expect-5.45.4-r0.aarch64.rpm,expect,程序脚本交互和测试实用程序,Expect是一个tcl应用程序，用于自动化和测试交互式应用程序，如telnet、ftp、passwd、fsck、rlogin、tip等。Expect使脚本可以轻松控制另一个程序并与之交互。,libc6 >= 2.34+10.3.1 libtcl8.6-0 >= 8.6.12 tcl update-alternatives-opkg
gcc-runtime-external,libstdc++6-10.3.1+10.3.1-r0.aarch64.rpm,libstdc++6,GNU C++ 库,,glibc-external libgcc-s1 >= 10.3.1+10.3.1 
gdb,gdb-11.1-r0.aarch64.rpm,gdb,用于C、C++、Fortran和其他语言的GNU源代码级调试器,GDB是GNU调试器，允许您调试用C、C++、Java和其他语言编写的程序，方法是以受控的方式执行这些程序并打印它们的数据。,libc6 >= 2.34+10.3.1 libexpat1 >= 2.4.8 libgcc-s1 >= 10.3.1+10.3.1 libgmp10 >= 6.2.1 libreadline8 >= 8.1 libstdc++6 >= 10.3.1+10.3.1 libtinfo5 >= 6.3 
gdb,gdbserver-11.1-r0.aarch64.rpm,gdbserver,GDB（GNU源级调试器）的独立服务器,此软件包提供了一个程序，允许您在运行正在调试程序的计算机之外的计算机上运行GDB。openEuler Embedded 330 版本中，SDK中暂时不支持主机端交叉调试工具gdb，可以使用gdb-multiarch代替，一般都可以通过zypper/apt/yum 安装（openeuler镜像暂不支持）。,libc6 >= 2.34+10.3.1 libgcc-s1 >= 10.3.1+10.3.1 libstdc++6 >= 10.3.1+10.3.1 
glib-2.0,libglib-2.0-0-2.72.2-r0.aarch64.rpm,libglib-2.0-0,通用使用程序库,,libc6 >= 2.34+10.3.1 libffi8 >= 3.4.2 libpcre1 >= 8.45 libz1 >= 1.2.11 
glibc-external,ldconfig-2.34+10.3.1-r0.aarch64.rpm,ldconfig,提供ldconfig实用程序,,
glibc-external,libc6-2.34+10.3.1-r0.aarch64.rpm,libc6,GNU libc库,,
glibc-external,libthread-db1-2.34+10.3.1-r0.aarch64.rpm,libthread-db1,,,libc6 >= 2.34+10.3.1 
gmp,libgmp10-6.2.1-r0.aarch64.rpm,libgmp10,一个用于计算巨大数字的库,GMP是一个用于任意精度算术的库，对有符号整数、有理数和浮点数进行操作。,libc6 >= 2.34+10.3.1 
gnutls,libgnutls30-3.7.2-r0.aarch64.rpm,libgnutls30,GNU传输层安全库,GnuTLS库在可靠传输层上提供了一个安全层。目前，GnuTLS库实现了IETF TLS工作组提出的标准。,libc6 >= 2.34+10.3.1 libgmp10 >= 6.2.1 libidn2-0 >= 2.3.2 libunistring2 >= 0.9.10 nettle >= 3.8.1 
grep,grep-3.7-r0.aarch64.rpm,grep,用于打印与模式匹配的行,提供grep命令，用于在一个或多个输入文件中搜索包含匹配指定的模式，默认情况下，grep打印匹配的行。,libc6 >= 2.34+10.3.1 libpcre2 >= 10.39 update-alternatives-opkg
grub,grub-common-2.06-r0.aarch64.rpm,grub-common,grub2通用布局,这个包提供了各种GRUB2子包所需的一些目录。,grub-editenv libc6 >= 2.34+10.3.1 
grub,grub-editenv-2.06-r0.aarch64.rpm,grub-editenv,提供grub-editenv程序,,libc6 >= 2.34+10.3.1 
grub-bootconf,grub-bootconf-1.00-r0.qemu_aarch64.rpm,grub-bootconf,用于EFI系统的基本配置文件,,
grub-efi,grub-efi-2.06-r0.aarch64.rpm,grub-efi,支持EFI的bootloader,,grub-common virtual/grub-bootconf
gzip,gzip-1.12-r0.aarch64.rpm,gzip,GNU 数据压缩程序,包含GNU gzip数据压缩程序。,libc6 >= 2.34+10.3.1 update-alternatives-opkg
http-parser,libhttp-parser2.9-2.9.4-r0.aarch64.rpm,libhttp-parser2.9,解析http的库,,libc6 >= 2.34+10.3.1 
init-ifupdown,init-ifupdown-1.0-r7.qemu_aarch64.rpm,init-ifupdown,基本TCP/IP网络初始化脚本和配置文件,, os-base 
init-system-helpers,init-system-helpers-service-debian+1.64-r0.aarch64.rpm,init-system-helpers-service,所有初始化系统的帮助工具,,
initscripts,initscripts-1.0-r155.aarch64.rpm,initscripts,提供System V初始化脚本的基本支持,提供System V初始化脚本的基本支持以及一些工具和实用程序。,55 init-system-helpers-service initd-functions 
initscripts,initscripts-functions-1.0-r155.aarch64.rpm,initscripts-functions,shell公共函数,提供一些基础的功能。,
iproute2,iproute2-ip-5.15.0-r0.aarch64.rpm,iproute2-ip,提供iproute2程序,提供ip.iproute2工具。,libc6 >= 2.34+10.3.1 libcap >= 2.61 libelf1 >= 0.187 libmnl0 >= 1.0.4 update-alternatives-opkg
iptables,iptables-1.8.7-r0.aarch64.rpm,iptables,用于管理Linux内核包过滤功能的工具,在Linux内核中控制网络包过滤代码，用于设置防火墙或IP伪装。,iptables-module-xt-standard libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-ah-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-ah,提供libip6t_ah.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-dnat-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-dnat,提供libip6t_DNAT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-dnpt-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-dnpt,提供libip6t_DNPT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-dst-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-dst,提供libip6t_dst.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-eui64-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-eui64,提供libip6t_eui64.so动态库,,iptables >= 1.8.7 
iptables,iptables-module-ip6t-frag-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-frag,提供libip6t_frag.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-hbh-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-hbh,提供libip6t_hbh.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-hl-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-hl,提供libip6t_HL.so和libip6t_hl.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-icmp6-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-icmp6,提供libip6t_icmp6.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-ipv6header-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-ipv6header,提供libip6t_ipv6header.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-log-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-log,提供libip6t_LOG.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-masquerade-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-masquerade,提供libip6t_MASQUERADE.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-mh-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-mh,提供libip6t_mh.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-netmap-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-netmap,提供libip6t_NETMAP.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-redirect-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-redirect,提供libip6t_REDIRECT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-reject-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-reject,提供libip6t_REJECT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-rt-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-rt,提供libip6t_rt.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-snat-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-snat,提供libip6t_SNAT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-snpt-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-snpt,提供libip6t_SNPT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ip6t-srh-1.8.7-r0.aarch64.rpm,iptables-module-ip6t-srh,提供libip6t_srh.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-ah-1.8.7-r0.aarch64.rpm,iptables-module-ipt-ah,提供libipt_ah.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-clusterip-1.8.7-r0.aarch64.rpm,iptables-module-ipt-clusterip,提供libipt_CLUSTERIP.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-dnat-1.8.7-r0.aarch64.rpm,iptables-module-ipt-dnat,提供libipt_DNAT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-ecn-1.8.7-r0.aarch64.rpm,iptables-module-ipt-ecn,提供libipt_ECN.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-icmp-1.8.7-r0.aarch64.rpm,iptables-module-ipt-icmp,提供libipt_icmp.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-log-1.8.7-r0.aarch64.rpm,iptables-module-ipt-log,提供libipt_LOG.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-masquerade-1.8.7-r0.aarch64.rpm,iptables-module-ipt-masquerade,提供libipt_MASQUERADE.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-netmap-1.8.7-r0.aarch64.rpm,iptables-module-ipt-netmap,提供libipt_NETMAP.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-realm-1.8.7-r0.aarch64.rpm,iptables-module-ipt-realm,提供libipt_realm.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-redirect-1.8.7-r0.aarch64.rpm,iptables-module-ipt-redirect,提供libipt_REDIRECT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-reject-1.8.7-r0.aarch64.rpm,iptables-module-ipt-reject,提供libipt_REJECT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-snat-1.8.7-r0.aarch64.rpm,iptables-module-ipt-snat,提供libipt_SNAT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-ttl-1.8.7-r0.aarch64.rpm,iptables-module-ipt-ttl,提供libipt_TTL.so和libipt_ttl.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-ipt-ulog-1.8.7-r0.aarch64.rpm,iptables-module-ipt-ulog,提供libipt_ULOG.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-addrtype-1.8.7-r0.aarch64.rpm,iptables-module-xt-addrtype,提供libxt_addrtype.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-audit-1.8.7-r0.aarch64.rpm,iptables-module-xt-audit,提供libxt_AUDIT.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-bpf-1.8.7-r0.aarch64.rpm,iptables-module-xt-bpf,提供libxt_bpf.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-cgroup-1.8.7-r0.aarch64.rpm,iptables-module-xt-cgroup,提供libxt_cgroup.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-checksum-1.8.7-r0.aarch64.rpm,iptables-module-xt-checksum,提供libxt_CHECKSUM.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-classify-1.8.7-r0.aarch64.rpm,iptables-module-xt-classify,提供libxt_CLASSIFY.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-cluster-1.8.7-r0.aarch64.rpm,iptables-module-xt-cluster,提供libxt_cluster.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-comment-1.8.7-r0.aarch64.rpm,iptables-module-xt-comment,提供libxt_comment.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-connbytes-1.8.7-r0.aarch64.rpm,iptables-module-xt-connbytes,提供libxt_connbytes.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-connlimit-1.8.7-r0.aarch64.rpm,iptables-module-xt-connlimit,提供libxt_connlimit.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-connmark-1.8.7-r0.aarch64.rpm,iptables-module-xt-connmark,提供libxt_CONNMARK.so和libxt_connmark.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
iptables,iptables-module-xt-connsecmark-1.8.7-r0.aarch64.rpm,iptables-module-xt-connsecmark,提供libxt_CONNSECMARK.so动态库,,iptables >= 1.8.7 libc6 >= 2.34+10.3.1 
